course_code,course_name,section_name,session_date,student_code,student_name,attendance_status,minutes_late,source,week_number,day_of_week,session_start_time,course_load
MATH101,Calculus I,Section 1,2026-03-14,S4079,Synthetic Student 4079,present,0,qr,10,Monday,09:00,5
CS101,Intro to Programming,Section 3,2026-05-04,S4049,Synthetic Student 4049,absent,0,qr,11,Monday,09:00,5
MATH101,Calculus I,Section 3,2026-02-07,S4068,Synthetic Student 4068,late,3,qr,1,Sunday,12:00,4
MATH101,Calculus I,Section 2,2026-05-11,S4126,Synthetic Student 4126,absent,0,qr,9,Wednesday,14:00,5
MATH101,Calculus I,Section 2,2026-02-23,S4058,Synthetic Student 4058,late,15,qr,4,Saturday,10:00,5
STAT101,Statistics I,Section 1,2026-02-09,S4175,Synthetic Student 4175,present,0,qr,3,Monday,09:00,3
PHY101,Physics I,Section 1,2026-04-20,S4162,Synthetic Student 4162,absent,0,qr,11,Saturday,10:00,5
PHY101,Physics I,Section 2,2026-02-23,S4026,Synthetic Student 4026,absent,0,qr,8,Saturday,10:00,5
CS101,Intro to Programming,Section 1,2026-04-25,S4045,Synthetic Student 4045,present,0,qr,2,Saturday,10:00,4
PHY101,Physics I,Section 1,2026-04-18,S4169,Synthetic Student 4169,absent,0,qr,2,Wednesday,14:00,5
CS101,Intro to Programming,Section 1,2026-03-30,S4174,Synthetic Student 4174,absent,0,qr,10,Sunday,09:00,4
STAT101,Statistics I,Section 2,2026-05-09,S4093,Synthetic Student 4093,absent,1,qr,6,Monday,09:00,2
PHY101,Physics I,Section 2,2026-04-04,S4130,Synthetic Student 4130,absent,1,manual,8,Sunday,12:00,2
CS101,Intro to Programming,Section 3,2026-04-20,S4049,Synthetic Student 4049,present,1,qr,11,Saturday,10:00,3
MATH101,Calculus I,Section 1,2026-03-14,S4097,Synthetic Student 4097,absent,0,qr,6,Monday,09:00,5
PHY101,Physics I,Section 2,2026-03-28,S4144,Synthetic Student 4144,present,0,qr,11,Saturday,10:00,4
MATH101,Calculus I,Section 1,2026-05-02,S4080,Synthetic Student 4080,late,17,qr,13,Sunday,12:00,2
STAT101,Statistics I,Section 3,2026-03-14,S4035,Synthetic Student 4035,absent,0,qr,14,Monday,10:00,5
STAT101,Statistics I,Section 3,2026-03-28,S4137,Synthetic Student 4137,present,0,qr,2,Saturday,10:00,5
MATH101,Calculus I,Section 2,2026-03-30,S4035,Synthetic Student 4035,excused,0,manual,1,Sunday,12:00,5
MATH101,Calculus I,Section 3,2026-04-20,S4051,Synthetic Student 4051,present,0,qr,11,Saturday,10:00,4
STAT101,Statistics I,Section 2,2026-05-09,S4142,Synthetic Student 4142,present,0,qr,8,Monday,09:00,2
CS101,Intro to Programming,Section 2,2026-02-21,S4162,Synthetic Student 4162,absent,0,qr,3,Wednesday,14:00,5
MATH101,Calculus I,Section 2,2026-02-14,S4136,Synthetic Student 4136,absent,2,qr,5,Monday,09:00,4
STAT101,Statistics I,Section 3,2026-04-18,S4130,Synthetic Student 4130,present,2,qr,9,Wednesday,14:00,3
MATH101,Calculus I,Section 2,2026-03-28,S4065,Synthetic Student 4065,absent,0,qr,1,Saturday,10:00,5
STAT101,Statistics I,Section 2,2026-05-09,S4004,Synthetic Student 4004,absent,0,qr,14,Monday,09:00,2
CS101,Intro to Programming,Section 2,2026-02-21,S4108,Synthetic Student 4108,late,15,qr,10,Wednesday,14:00,5
PHY101,Physics I,Section 1,2026-03-23,S4100,Synthetic Student 4100,present,0,qr,8,Saturday,10:00,4
PHY101,Physics I,Section 1,2026-03-02,S4093,Synthetic Student 4093,absent,1,qr,10,Sunday,12:00,5
PHY101,Physics I,Section 2,2026-02-14,S4059,Synthetic Student 4059,present,0,qr,6,Monday,09:00,5
STAT101,Statistics I,Section 3,2026-03-28,S4123,Synthetic Student 4123,present,2,qr,12,Saturday,10:00,5
PHY101,Physics I,Section 3,2026-03-16,S4144,Synthetic Student 4144,absent,0,qr,1,Wednesday,14:00,3
STAT101,Statistics I,Section 1,2026-02-09,S4032,Synthetic Student 4032,present,0,qr,3,Monday,09:00,3
MATH101,Calculus I,Section 3,2026-04-25,S4035,Synthetic Student 4035,present,0,qr,1,Saturday,10:00,4
PHY101,Physics I,Section 1,2026-03-23,S4042,Synthetic Student 4042,present,0,qr,14,Saturday,10:00,4
PHY101,Physics I,Section 3,2026-03-16,S4107,Synthetic Student 4107,present,1,qr,1,Wednesday,09:00,3
PHY101,Physics I,Section 2,2026-02-21,S4066,Synthetic Student 4066,excused,1,manual,10,Wednesday,14:00,5
CS101,Intro to Programming,Section 3,2026-03-14,S4154,Synthetic Student 4154,present,0,qr,12,Monday,09:00,5
STAT101,Statistics I,Section 1,2026-04-27,S4104,Synthetic Student 4104,present,0,qr,9,Sunday,12:00,4
CS101,Intro to Programming,Section 3,2026-02-16,S4122,Synthetic Student 4122,present,0,qr,2,Wednesday,14:00,3
PHY101,Physics I,Section 1,2026-04-18,S4004,Synthetic Student 4004,present,0,qr,14,Wednesday,14:00,5
MATH101,Calculus I,Section 1,2026-04-04,S4170,Synthetic Student 4170,late,12,qr,4,Sunday,12:00,3
MATH101,Calculus I,Section 3,2026-02-07,S4108,Synthetic Student 4108,absent,0,qr,1,Sunday,12:00,4
PHY101,Physics I,Section 1,2026-03-07,S4156,Synthetic Student 4156,present,1,qr,8,Sunday,12:00,3
PHY101,Physics I,Section 1,2026-04-13,S4114,Synthetic Student 4114,absent,0,qr,12,Wednesday,10:00,3
CS101,Intro to Programming,Section 3,2026-04-04,S4020,Synthetic Student 4020,late,3,qr,10,Sunday,12:00,3
CS101,Intro to Programming,Section 3,2026-03-23,S4114,Synthetic Student 4114,present,0,qr,8,Saturday,10:00,3
PHY101,Physics I,Section 2,2026-02-23,S4150,Synthetic Student 4150,absent,0,qr,5,Saturday,10:00,5
STAT101,Statistics I,Section 2,2026-05-02,S4062,Synthetic Student 4062,present,0,qr,13,Sunday,12:00,2
STAT101,Statistics I,Section 1,2026-02-28,S4133,Synthetic Student 4133,late,10,qr,14,Saturday,10:00,5
CS101,Intro to Programming,Section 3,2026-05-09,S4038,Synthetic Student 4038,present,0,qr,14,Monday,09:00,3
PHY101,Physics I,Section 2,2026-02-14,S4010,Synthetic Student 4010,present,0,qr,3,Monday,09:00,5
MATH101,Calculus I,Section 1,2026-04-06,S4109,Synthetic Student 4109,absent,0,qr,11,Monday,09:00,3
MATH101,Calculus I,Section 2,2026-02-14,S4165,Synthetic Student 4165,late,3,qr,11,Monday,09:00,4
CS101,Intro to Programming,Section 3,2026-04-04,S4032,Synthetic Student 4032,absent,0,qr,9,Sunday,12:00,3
CS101,Intro to Programming,Section 3,2026-02-16,S4086,Synthetic Student 4086,absent,1,qr,1,Wednesday,14:00,3
PHY101,Physics I,Section 1,2026-04-11,S4065,Synthetic Student 4065,present,2,qr,3,Monday,09:00,3
STAT101,Statistics I,Section 1,2026-02-07,S4100,Synthetic Student 4100,absent,2,qr,6,Sunday,12:00,3
PHY101,Physics I,Section 2,2026-02-07,S4069,Synthetic Student 4069,present,0,manual,1,Sunday,12:00,5
STAT101,Statistics I,Section 3,2026-03-28,S4058,Synthetic Student 4058,present,0,qr,8,Saturday,10:00,5
CS101,Intro to Programming,Section 1,2026-02-09,S4060,Synthetic Student 4060,absent,0,qr,8,Monday,09:00,3
PHY101,Physics I,Section 3,2026-04-25,S4124,Synthetic Student 4124,excused,2,manual,13,Saturday,10:00,4
STAT101,Statistics I,Section 2,2026-05-02,S4026,Synthetic Student 4026,absent,0,qr,1,Sunday,12:00,2
MATH101,Calculus I,Section 3,2026-04-20,S4017,Synthetic Student 4017,late,16,qr,2,Saturday,10:00,4
CS101,Intro to Programming,Section 3,2026-05-11,S4151,Synthetic Student 4151,present,0,qr,14,Wednesday,14:00,3
MATH101,Calculus I,Section 1,2026-05-04,S4178,Synthetic Student 4178,absent,0,qr,13,Monday,09:00,2
CS101,Intro to Programming,Section 1,2026-04-25,S4023,Synthetic Student 4023,present,0,qr,12,Saturday,10:00,4
CS101,Intro to Programming,Section 1,2026-03-30,S4135,Synthetic Student 4135,late,2,qr,5,Wednesday,12:00,4
PHY101,Physics I,Section 1,2026-03-09,S4042,Synthetic Student 4042,present,0,qr,6,Monday,09:00,3
STAT101,Statistics I,Section 2,2026-04-04,S4038,Synthetic Student 4038,present,1,qr,3,Sunday,12:00,3
PHY101,Physics I,Section 3,2026-03-14,S4005,Synthetic Student 4005,absent,2,manual,8,Monday,09:00,3
STAT101,Statistics I,Section 1,2026-03-07,S4175,Synthetic Student 4175,absent,0,qr,14,Sunday,12:00,2
MATH101,Calculus I,Section 3,2026-04-27,S4095,Synthetic Student 4095,present,1,qr,13,Sunday,12:00,4
STAT101,Statistics I,Section 1,2026-02-16,S4164,Synthetic Student 4164,present,0,qr,11,Wednesday,14:00,2
MATH101,Calculus I,Section 2,2026-03-21,S4050,Synthetic Student 4050,excused,0,manual,8,Wednesday,14:00,2
STAT101,Statistics I,Section 2,2026-04-13,S4178,Synthetic Student 4178,present,0,qr,10,Wednesday,14:00,2
MATH101,Calculus I,Section 1,2026-03-16,S4065,Synthetic Student 4065,present,0,qr,13,Wednesday,14:00,5
PHY101,Physics I,Section 1,2026-04-20,S4165,Synthetic Student 4165,absent,0,qr,11,Saturday,10:00,5
CS101,Intro to Programming,Section 3,2026-05-11,S4010,Synthetic Student 4010,present,0,qr,2,Wednesday,14:00,3
PHY101,Physics I,Section 1,2026-04-11,S4033,Synthetic Student 4033,present,0,qr,3,Monday,09:00,3
CS101,Intro to Programming,Section 1,2026-04-25,S4064,Synthetic Student 4064,absent,0,qr,4,Saturday,10:00,4
CS101,Intro to Programming,Section 3,2026-04-18,S4130,Synthetic Student 4130,excused,0,manual,3,Wednesday,14:00,3
CS101,Intro to Programming,Section 1,2026-04-25,S4044,Synthetic Student 4044,present,0,qr,4,Saturday,10:00,4
CS101,Intro to Programming,Section 3,2026-03-21,S4120,Synthetic Student 4120,late,18,qr,14,Wednesday,14:00,3
MATH101,Calculus I,Section 1,2026-04-11,S4126,Synthetic Student 4126,late,8,qr,9,Monday,09:00,5
MATH101,Calculus I,Section 2,2026-02-16,S4161,Synthetic Student 4161,present,0,qr,2,Wednesday,14:00,4
CS101,Intro to Programming,Section 1,2026-04-27,S4003,Synthetic Student 4003,present,0,qr,1,Sunday,12:00,4
CS101,Intro to Programming,Section 3,2026-05-04,S4165,Synthetic Student 4165,late,11,qr,13,Monday,09:00,5
MATH101,Calculus I,Section 2,2026-03-23,S4079,Synthetic Student 4079,excused,0,manual,12,Saturday,10:00,2
PHY101,Physics I,Section 1,2026-03-09,S4153,Synthetic Student 4153,present,0,qr,10,Monday,09:00,3
PHY101,Physics I,Section 2,2026-02-21,S4138,Synthetic Student 4138,present,0,qr,3,Wednesday,14:00,5
MATH101,Calculus I,Section 3,2026-03-09,S4021,Synthetic Student 4021,absent,2,qr,4,Monday,09:00,2
CS101,Intro to Programming,Section 2,2026-02-21,S4146,Synthetic Student 4146,present,0,qr,3,Wednesday,14:00,5
MATH101,Calculus I,Section 2,2026-03-02,S4140,Synthetic Student 4140,late,15,qr,14,Sunday,12:00,4
CS101,Intro to Programming,Section 1,2026-02-09,S4155,Synthetic Student 4155,absent,0,qr,5,Monday,09:00,3
PHY101,Physics I,Section 1,2026-04-18,S4136,Synthetic Student 4136,late,5,qr,11,Wednesday,14:00,5
PHY101,Physics I,Section 1,2026-04-13,S4178,Synthetic Student 4178,present,0,qr,10,Wednesday,14:00,3
MATH101,Calculus I,Section 2,2026-02-28,S4004,Synthetic Student 4004,present,0,qr,1,Saturday,10:00,4
CS101,Intro to Programming,Section 3,2026-05-04,S4047,Synthetic Student 4047,absent,0,qr,1,Monday,09:00,5
STAT101,Statistics I,Section 1,2026-02-14,S4035,Synthetic Student 4035,present,1,qr,7,Monday,09:00,2
PHY101,Physics I,Section 1,2026-05-09,S4005,Synthetic Student 4005,late,12,qr,7,Monday,09:00,5
STAT101,Statistics I,Section 3,2026-03-16,S4101,Synthetic Student 4101,present,2,qr,11,Wednesday,14:00,5
CS101,Intro to Programming,Section 3,2026-02-16,S4068,Synthetic Student 4068,late,17,qr,10,Wednesday,14:00,3
STAT101,Statistics I,Section 3,2026-03-30,S4104,Synthetic Student 4104,absent,0,qr,6,Wednesday,12:00,5
STAT101,Statistics I,Section 1,2026-02-07,S4164,Synthetic Student 4164,late,19,qr,1,Sunday,12:00,3
CS101,Intro to Programming,Section 3,2026-02-14,S4005,Synthetic Student 4005,present,0,qr,8,Wednesday,09:00,3
STAT101,Statistics I,Section 1,2026-02-23,S4008,Synthetic Student 4008,absent,0,qr,3,Saturday,10:00,4
PHY101,Physics I,Section 2,2026-03-30,S4171,Synthetic Student 4171,absent,1,qr,1,Sunday,12:00,4
MATH101,Calculus I,Section 1,2026-04-13,S4160,Synthetic Student 4160,absent,2,qr,2,Wednesday,14:00,5
STAT101,Statistics I,Section 3,2026-04-20,S4149,Synthetic Student 4149,absent,1,qr,12,Saturday,10:00,3
STAT101,Statistics I,Section 2,2026-04-11,S4131,Synthetic Student 4131,present,0,qr,5,Monday,09:00,2
CS101,Intro to Programming,Section 3,2026-02-16,S4165,Synthetic Student 4165,absent,0,qr,13,Wednesday,14:00,3
PHY101,Physics I,Section 2,2026-02-09,S4085,Synthetic Student 4085,late,17,qr,13,Monday,09:00,5
STAT101,Statistics I,Section 1,2026-02-09,S4062,Synthetic Student 4062,late,1,qr,14,Monday,09:00,3
CS101,Intro to Programming,Section 3,2026-03-23,S4047,Synthetic Student 4047,absent,0,qr,6,Saturday,10:00,3
STAT101,Statistics I,Section 2,2026-05-02,S4151,Synthetic Student 4151,present,0,qr,11,Sunday,12:00,2
CS101,Intro to Programming,Section 3,2026-03-16,S4079,Synthetic Student 4079,present,0,qr,6,Wednesday,14:00,5
PHY101,Physics I,Section 1,2026-02-28,S4080,Synthetic Student 4080,late,5,qr,3,Saturday,10:00,5
STAT101,Statistics I,Section 1,2026-03-09,S4096,Synthetic Student 4096,absent,0,qr,10,Monday,09:00,2
PHY101,Physics I,Section 2,2026-02-09,S4003,Synthetic Student 4003,present,0,qr,6,Monday,09:00,5
CS101,Intro to Programming,Section 3,2026-05-09,S4135,Synthetic Student 4135,late,3,qr,6,Monday,09:00,3
CS101,Intro to Programming,Section 2,2026-02-23,S4171,Synthetic Student 4171,absent,0,qr,3,Sunday,14:00,5
STAT101,Statistics I,Section 2,2026-04-11,S4008,Synthetic Student 4008,present,2,qr,4,Monday,09:00,2
STAT101,Statistics I,Section 2,2026-04-11,S4176,Synthetic Student 4176,absent,0,qr,3,Monday,09:00,2
MATH101,Calculus I,Section 2,2026-03-21,S4063,Synthetic Student 4063,late,7,qr,9,Wednesday,14:00,2
STAT101,Statistics I,Section 3,2026-03-30,S4120,Synthetic Student 4120,excused,0,manual,4,Sunday,12:00,5
CS101,Intro to Programming,Section 3,2026-03-21,S4028,Synthetic Student 4028,present,0,qr,7,Wednesday,14:00,3
PHY101,Physics I,Section 3,2026-03-16,S4080,Synthetic Student 4080,present,1,qr,6,Wednesday,14:00,3
CS101,Intro to Programming,Section 3,2026-05-04,S4065,Synthetic Student 4065,present,0,qr,14,Monday,09:00,5
CS101,Intro to Programming,Section 3,2026-03-14,S4107,Synthetic Student 4107,late,15,qr,6,Monday,09:00,5
CS101,Intro to Programming,Section 3,2026-05-04,S4017,Synthetic Student 4017,absent,0,qr,2,Monday,09:00,5
STAT101,Statistics I,Section 1,2026-02-23,S4128,Synthetic Student 4128,present,0,qr,7,Saturday,10:00,4
CS101,Intro to Programming,Section 1,2026-02-09,S4012,Synthetic Student 4012,present,2,qr,5,Monday,09:00,3
MATH101,Calculus I,Section 2,2026-02-21,S4006,Synthetic Student 4006,present,2,qr,6,Wednesday,14:00,5
MATH101,Calculus I,Section 3,2026-03-07,S4035,Synthetic Student 4035,present,0,qr,13,Sunday,12:00,2
STAT101,Statistics I,Section 3,2026-03-30,S4152,Synthetic Student 4152,absent,0,qr,8,Sunday,12:00,5
PHY101,Physics I,Section 3,2026-05-04,S4027,Synthetic Student 4027,present,0,qr,4,Monday,12:00,2
PHY101,Physics I,Section 1,2026-05-09,S4065,Synthetic Student 4065,absent,0,qr,14,Monday,09:00,5
CS101,Intro to Programming,Section 3,2026-05-02,S4005,Synthetic Student 4005,late,17,qr,4,Sunday,12:00,5
STAT101,Statistics I,Section 2,2026-05-02,S4068,Synthetic Student 4068,late,9,qr,13,Sunday,12:00,2
STAT101,Statistics I,Section 1,2026-03-09,S4145,Synthetic Student 4145,late,19,qr,4,Monday,09:00,2
STAT101,Statistics I,Section 1,2026-02-09,S4004,Synthetic Student 4004,late,1,qr,1,Monday,09:00,3
CS101,Intro to Programming,Section 3,2026-03-21,S4076,Synthetic Student 4076,late,8,qr,7,Wednesday,14:00,3
MATH101,Calculus I,Section 2,2026-03-30,S4079,Synthetic Student 4079,present,0,qr,14,Sunday,12:00,5
PHY101,Physics I,Section 3,2026-03-14,S4049,Synthetic Student 4049,present,1,qr,6,Monday,09:00,3
MATH101,Calculus I,Section 1,2026-04-04,S4166,Synthetic Student 4166,late,18,qr,9,Sunday,12:00,3
PHY101,Physics I,Section 1,2026-03-09,S4147,Synthetic Student 4147,present,0,qr,8,Monday,09:00,3
STAT101,Statistics I,Section 2,2026-04-04,S4176,Synthetic Student 4176,present,0,manual,6,Sunday,12:00,3
PHY101,Physics I,Section 1,2026-05-11,S4144,Synthetic Student 4144,present,0,qr,14,Wednesday,14:00,5
STAT101,Statistics I,Section 3,2026-04-20,S4102,Synthetic Student 4102,absent,0,qr,4,Saturday,10:00,3
PHY101,Physics I,Section 1,2026-04-18,S4176,Synthetic Student 4176,present,2,qr,6,Wednesday,14:00,5
STAT101,Statistics I,Section 3,2026-04-20,S4175,Synthetic Student 4175,present,1,qr,11,Saturday,10:00,3
CS101,Intro to Programming,Section 2,2026-02-28,S4107,Synthetic Student 4107,late,6,qr,11,Saturday,10:00,3
PHY101,Physics I,Section 2,2026-02-21,S4026,Synthetic Student 4026,present,0,qr,6,Wednesday,14:00,5
CS101,Intro to Programming,Section 1,2026-02-07,S4105,Synthetic Student 4105,present,0,qr,1,Sunday,12:00,3
STAT101,Statistics I,Section 2,2026-04-04,S4000,Synthetic Student 4000,present,1,qr,12,Sunday,12:00,3
CS101,Intro to Programming,Section 2,2026-04-13,S4036,Synthetic Student 4036,present,0,qr,10,Wednesday,14:00,5
STAT101,Statistics I,Section 2,2026-05-02,S4012,Synthetic Student 4012,present,0,qr,4,Sunday,12:00,2
CS101,Intro to Programming,Section 2,2026-02-28,S4108,Synthetic Student 4108,present,1,qr,4,Saturday,10:00,3
PHY101,Physics I,Section 1,2026-03-07,S4156,Synthetic Student 4156,present,0,qr,1,Sunday,12:00,3
MATH101,Calculus I,Section 2,2026-05-09,S4164,Synthetic Student 4164,present,0,qr,14,Monday,09:00,5
PHY101,Physics I,Section 3,2026-03-14,S4127,Synthetic Student 4127,late,10,qr,6,Monday,09:00,3
MATH101,Calculus I,Section 3,2026-03-09,S4168,Synthetic Student 4168,present,0,qr,8,Monday,09:00,2
STAT101,Statistics I,Section 2,2026-05-09,S4179,Synthetic Student 4179,absent,0,qr,14,Monday,09:00,2
STAT101,Statistics I,Section 1,2026-03-09,S4069,Synthetic Student 4069,present,0,qr,9,Monday,09:00,2
PHY101,Physics I,Section 2,2026-03-30,S4125,Synthetic Student 4125,present,0,qr,13,Wednesday,12:00,4
MATH101,Calculus I,Section 2,2026-05-11,S4035,Synthetic Student 4035,present,1,qr,14,Wednesday,14:00,5
PHY101,Physics I,Section 3,2026-04-25,S4027,Synthetic Student 4027,present,0,qr,6,Saturday,10:00,4
STAT101,Statistics I,Section 1,2026-03-21,S4130,Synthetic Student 4130,absent,2,qr,13,Wednesday,14:00,4
STAT101,Statistics I,Section 3,2026-03-28,S4025,Synthetic Student 4025,present,0,qr,8,Saturday,10:00,5
MATH101,Calculus I,Section 1,2026-03-14,S4055,Synthetic Student 4055,late,3,qr,12,Monday,09:00,5
PHY101,Physics I,Section 2,2026-02-14,S4048,Synthetic Student 4048,present,2,qr,9,Wednesday,09:00,5
STAT101,Statistics I,Section 1,2026-03-21,S4046,Synthetic Student 4046,present,0,qr,9,Wednesday,14:00,4
CS101,Intro to Programming,Section 1,2026-04-27,S4144,Synthetic Student 4144,absent,0,qr,14,Sunday,12:00,4
PHY101,Physics I,Section 3,2026-05-04,S4059,Synthetic Student 4059,present,0,qr,4,Monday,09:00,2
STAT101,Statistics I,Section 1,2026-02-09,S4140,Synthetic Student 4140,present,0,qr,8,Monday,09:00,3
CS101,Intro to Programming,Section 3,2026-04-18,S4012,Synthetic Student 4012,excused,2,manual,8,Wednesday,14:00,3
CS101,Intro to Programming,Section 1,2026-03-30,S4164,Synthetic Student 4164,present,2,qr,5,Sunday,12:00,4
MATH101,Calculus I,Section 2,2026-05-09,S4123,Synthetic Student 4123,present,0,qr,13,Monday,09:00,5
STAT101,Statistics I,Section 1,2026-02-23,S4137,Synthetic Student 4137,present,0,qr,11,Saturday,10:00,4
PHY101,Physics I,Section 2,2026-04-06,S4165,Synthetic Student 4165,absent,0,qr,1,Monday,09:00,2
STAT101,Statistics I,Section 2,2026-05-09,S4082,Synthetic Student 4082,absent,0,qr,14,Monday,09:00,2
PHY101,Physics I,Section 3,2026-04-25,S4056,Synthetic Student 4056,present,0,qr,12,Saturday,10:00,4
PHY101,Physics I,Section 1,2026-03-23,S4095,Synthetic Student 4095,present,1,qr,3,Saturday,10:00,4
MATH101,Calculus I,Section 2,2026-03-21,S4148,Synthetic Student 4148,present,0,qr,5,Wednesday,14:00,2
MATH101,Calculus I,Section 3,2026-03-07,S4073,Synthetic Student 4073,absent,0,qr,8,Sunday,12:00,2
MATH101,Calculus I,Section 1,2026-03-16,S4082,Synthetic Student 4082,present,2,qr,5,Wednesday,14:00,5
PHY101,Physics I,Section 2,2026-03-30,S4107,Synthetic Student 4107,absent,0,qr,4,Sunday,12:00,4
MATH101,Calculus I,Section 3,2026-04-25,S4062,Synthetic Student 4062,present,2,qr,3,Saturday,10:00,4
MATH101,Calculus I,Section 1,2026-03-16,S4088,Synthetic Student 4088,present,0,qr,6,Wednesday,14:00,5
MATH101,Calculus I,Section 2,2026-03-21,S4027,Synthetic Student 4027,late,6,qr,8,Wednesday,14:00,2
MATH101,Calculus I,Section 2,2026-02-14,S4024,Synthetic Student 4024,late,11,qr,10,Monday,09:00,4
MATH101,Calculus I,Section 2,2026-03-28,S4104,Synthetic Student 4104,present,1,qr,13,Saturday,10:00,5
CS101,Intro to Programming,Section 1,2026-03-28,S4028,Synthetic Student 4028,present,0,qr,8,Saturday,10:00,4
CS101,Intro to Programming,Section 3,2026-05-02,S4077,Synthetic Student 4077,present,0,qr,6,Sunday,12:00,5
STAT101,Statistics I,Section 1,2026-03-09,S4064,Synthetic Student 4064,absent,0,qr,6,Monday,09:00,2
CS101,Intro to Programming,Section 1,2026-02-09,S4149,Synthetic Student 4149,present,0,qr,10,Monday,09:00,3
STAT101,Statistics I,Section 1,2026-03-09,S4128,Synthetic Student 4128,late,2,manual,14,Monday,09:00,2
STAT101,Statistics I,Section 1,2026-02-16,S4178,Synthetic Student 4178,present,1,qr,10,Wednesday,14:00,2
STAT101,Statistics I,Section 3,2026-04-18,S4120,Synthetic Student 4120,present,0,qr,5,Wednesday,14:00,3
CS101,Intro to Programming,Section 2,2026-02-28,S4090,Synthetic Student 4090,present,2,qr,10,Saturday,10:00,3
PHY101,Physics I,Section 2,2026-02-21,S4092,Synthetic Student 4092,present,0,qr,12,Wednesday,14:00,5
PHY101,Physics I,Section 1,2026-03-23,S4178,Synthetic Student 4178,present,0,qr,12,Saturday,10:00,4
STAT101,Statistics I,Section 3,2026-03-28,S4120,Synthetic Student 4120,late,9,qr,14,Saturday,10:00,5
STAT101,Statistics I,Section 2,2026-04-13,S4074,Synthetic Student 4074,absent,0,qr,14,Wednesday,14:00,2
STAT101,Statistics I,Section 2,2026-05-09,S4135,Synthetic Student 4135,present,0,qr,11,Monday,09:00,2
MATH101,Calculus I,Section 2,2026-02-16,S4145,Synthetic Student 4145,present,0,qr,9,Wednesday,14:00,4
MATH101,Calculus I,Section 2,2026-03-02,S4070,Synthetic Student 4070,present,0,qr,1,Sunday,12:00,4
CS101,Intro to Programming,Section 2,2026-02-23,S4168,Synthetic Student 4168,present,0,qr,9,Saturday,10:00,5
STAT101,Statistics I,Section 2,2026-04-13,S4145,Synthetic Student 4145,present,2,qr,10,Wednesday,14:00,2
STAT101,Statistics I,Section 1,2026-04-27,S4170,Synthetic Student 4170,present,0,qr,2,Sunday,12:00,4
PHY101,Physics I,Section 3,2026-03-14,S4121,Synthetic Student 4121,present,0,qr,6,Monday,09:00,3
